trayID,ID,x,y,spID,state0,state_final,day,NOTES
1,ID1,0.765,0.979874832,kale,S,NA,NA,
1,ID2,2.765,0.979874832,kale,S,S,,
1,ID3,4.765,0.979874832,kale,S,NA,NA,
1,ID4,6.765,0.979874832,kale,S,NA,NA,
1,ID5,8.765,0.979874832,kale,C,I,7,
1,ID6,10.765,0.979874832,kale,S,I,11,
1,ID7,12.765,0.979874832,kale,S,NA,NA,
1,ID8,14.765,0.979874832,kale,S,S,,
1,ID9,16.765,0.979874832,kale,S,S,,
1,ID10,18.765,0.979874832,kale,S,S,,
1,ID11,20.765,0.979874832,kale,S,S,,
1,ID12,22.765,0.979874832,kale,C,S,,inoculated day 14. no change.
1,ID13,1.765,2.711925639,kale,S,NA,NA,
1,ID14,3.765,2.711925639,kale,S,I,14,
1,ID15,5.765,2.711925639,kale,C,NA,NA,
1,ID16,7.765,2.711925639,kale,S,I,14,
1,ID17,9.765,2.711925639,kale,S,I,17,
1,ID18,11.765,2.711925639,kale,S,S,,
1,ID19,13.765,2.711925639,kale,S,NA,NA,
1,ID20,15.765,2.711925639,kale,S,S,,
1,ID21,17.765,2.711925639,kale,S,S,,
1,ID22,19.765,2.711925639,kale,S,S,,
1,ID23,21.765,2.711925639,kale,S,S,,
1,ID24,23.765,2.711925639,kale,S,S,,
1,ID25,0.765,4.443976447,kale,S,S,,
1,ID26,2.765,4.443976447,kale,S,S,,
1,ID27,4.765,4.443976447,kale,S,S,,
1,ID28,6.765,4.443976447,kale,S,I,14,
1,ID29,8.765,4.443976447,kale,S,S,,
1,ID30,10.765,4.443976447,kale,S,S,,
1,ID31,12.765,4.443976447,kale,C,I,7,
1,ID32,14.765,4.443976447,kale,S,NA,NA,
1,ID33,16.765,4.443976447,kale,S,S,,
1,ID34,18.765,4.443976447,kale,S,I,19,
1,ID35,20.765,4.443976447,kale,C,I,7,"UNEMERGED, BUT GERMINATED BY DAY7"
1,ID36,22.765,4.443976447,kale,S,NA,NA,
1,ID37,1.765,6.176027254,kale,S,S,,
1,ID38,3.765,6.176027254,kale,C,S,,
1,ID39,5.765,6.176027254,kale,S,I,22,
1,ID40,7.765,6.176027254,kale,S,I,19,
1,ID41,9.765,6.176027254,kale,S,S,,
1,ID42,11.765,6.176027254,kale,S,S,,
1,ID43,13.765,6.176027254,kale,S,S,,
1,ID44,15.765,6.176027254,kale,S,I,22,
1,ID45,17.765,6.176027254,kale,S,S,,
1,ID46,19.765,6.176027254,kale,S,I,14,
1,ID47,21.765,6.176027254,kale,S,I,22,
1,ID48,23.765,6.176027254,kale,S,S,,
1,ID49,0.765,7.908078062,kale,S,S,,
1,ID50,2.765,7.908078062,kale,S,I,19,
1,ID51,4.765,7.908078062,kale,S,S,,
1,ID52,6.765,7.908078062,kale,C,I,5,
1,ID53,8.765,7.908078062,kale,S,NA,NA,
1,ID54,10.765,7.908078062,kale,S,S,,
1,ID55,12.765,7.908078062,kale,S,NA,NA,
1,ID56,14.765,7.908078062,kale,C,I,9,
1,ID57,16.765,7.908078062,kale,S,I,22,QUESTIONABLE
1,ID58,18.765,7.908078062,kale,S,S,,
1,ID59,20.765,7.908078062,kale,S,I,22,
1,ID60,22.765,7.908078062,kale,S,I,22,
1,ID61,1.765,9.640128869,kale,S,S,,
1,ID62,3.765,9.640128869,kale,S,S,,
1,ID63,5.765,9.640128869,kale,S,I,19,
1,ID64,7.765,9.640128869,kale,S,I,22,
1,ID65,9.765,9.640128869,kale,S,S,,
1,ID66,11.765,9.640128869,kale,S,S,,
1,ID67,13.765,9.640128869,kale,S,I,17,
1,ID68,15.765,9.640128869,kale,S,NA,NA,
1,ID69,17.765,9.640128869,kale,S,NA,NA,
1,ID70,19.765,9.640128869,kale,S,S,,
1,ID71,21.765,9.640128869,kale,S,S,,
1,ID72,23.765,9.640128869,kale,S,S,,
1,ID73,0.765,11.37217968,kale,S,S,,
1,ID74,2.765,11.37217968,kale,S,S,,
1,ID75,4.765,11.37217968,kale,S,S,,
1,ID76,6.765,11.37217968,kale,S,S,,
1,ID77,8.765,11.37217968,kale,S,NA,NA,
1,ID78,10.765,11.37217968,kale,S,NA,NA,
1,ID79,12.765,11.37217968,kale,C,NA,NA,MOST LIKELY INFECTED.
1,ID80,14.765,11.37217968,kale,S,I,14,
1,ID81,16.765,11.37217968,kale,S,I,19,
1,ID82,18.765,11.37217968,kale,S,S,,
1,ID83,20.765,11.37217968,kale,S,S,,
1,ID84,22.765,11.37217968,kale,S,S,,
1,ID85,1.765,13.10423048,kale,S,S,,
1,ID86,3.765,13.10423048,kale,C,I,9,
1,ID87,5.765,13.10423048,kale,S,S,,
1,ID88,7.765,13.10423048,kale,S,S,,
1,ID89,9.765,13.10423048,kale,S,S,,
1,ID90,11.765,13.10423048,kale,S,NA,NA,
1,ID91,13.765,13.10423048,kale,S,I,22,
1,ID92,15.765,13.10423048,kale,S,I,1,
1,ID93,17.765,13.10423048,kale,S,S,,
1,ID94,19.765,13.10423048,kale,S,I,22,
1,ID95,21.765,13.10423048,kale,S,S,,
1,ID96,23.765,13.10423048,kale,S,S,,
1,ID97,0.765,14.83628129,kale,S,S,,
1,ID98,2.765,14.83628129,kale,S,I,22,QUESTIONABLE
1,ID99,4.765,14.83628129,kale,S,NA,NA,
1,ID100,6.765,14.83628129,kale,S,S,,
1,ID101,8.765,14.83628129,kale,S,I,22,
1,ID102,10.765,14.83628129,kale,S,I,1,
1,ID103,12.765,14.83628129,kale,S,S,,
1,ID104,14.765,14.83628129,kale,S,S,,
1,ID105,16.765,14.83628129,kale,S,I,22,
1,ID106,18.765,14.83628129,kale,S,S,,
1,ID107,20.765,14.83628129,kale,C,I,19,
1,ID108,22.765,14.83628129,kale,S,I,11,
1,ID109,1.765,16.5683321,kale,S,S,,
1,ID110,3.765,16.5683321,kale,S,S,,
1,ID111,5.765,16.5683321,kale,C,I,7,
1,ID112,7.765,16.5683321,kale,S,I,11,
1,ID113,9.765,16.5683321,kale,S,I,17,
1,ID114,11.765,16.5683321,kale,C,NA,NA,
1,ID115,13.765,16.5683321,kale,S,S,,
1,ID116,15.765,16.5683321,kale,S,S,,
1,ID117,17.765,16.5683321,kale,S,S,,
1,ID118,19.765,16.5683321,kale,S,NA,NA,
1,ID119,21.765,16.5683321,kale,S,S,,
1,ID120,23.765,16.5683321,kale,S,I,11,
1,ID121,0.765,18.30038291,kale,S,S,,
1,ID122,2.765,18.30038291,kale,S,S,,
1,ID123,4.765,18.30038291,kale,C,I,9,
1,ID124,6.765,18.30038291,kale,S,S,,
1,ID125,8.765,18.30038291,kale,S,S,,
1,ID126,10.765,18.30038291,kale,S,I,19,
1,ID127,12.765,18.30038291,kale,S,S,,
1,ID128,14.765,18.30038291,kale,S,S,,
1,ID129,16.765,18.30038291,kale,S,S,,
1,ID130,18.765,18.30038291,kale,S,S,,
1,ID131,20.765,18.30038291,kale,S,I,17,
1,ID132,22.765,18.30038291,kale,C,I,7,
1,ID133,1.765,20.03243371,kale,S,S,,
1,ID134,3.765,20.03243371,kale,S,I,22,QUESTIONABLE
1,ID135,5.765,20.03243371,kale,S,S,,
1,ID136,7.765,20.03243371,kale,S,S,,
