trayID,day_planted,weight,notes
1,1,1500,
7,1,1267,
12,1,1195,
14,1,1359,
15,1,1251,
18,1,1352,
24,1,1157,
25,1,1324,
27,1,1186,
28,1,1214,
30,1,1198,
33,1,1114,
34,1,1512,
35,1,1139,
38,1,1188,
39,1,1198,
40,1,1097,inoculated twice
44,1,1319,
46,1,1105,
47,1,1135,
48,1,1033,
50,1,1091,
51,1,1278,
52,1,1073,
55,1,1031,
60,1,1316,
71,1,1470,
75,1,1398,
82,1,1203,
84,1,1209,
86,1,1048,
87,1,1148,
88,1,1142,
89,1,1110,
93,1,1172,
97,1,1305,
100,1,1231,
107,1,1220,
109,1,1044,
112,1,1177,
118,1,1168,
125,1,1234,
127,1,1484,
132,1,1268,
133,1,1161,
137,1,1059,
138,1,1266,
141,1,1167,
142,1,1452,
143,1,1295,
146,1,1291,
156,1,1026,
160,1,1161,
162,1,1086,
167,1,1266,
168,1,1215,
169,1,1248,
6,2,1218,
8,2,1189,
9,2,1304,
10,2,1410,
11,2,1205,
13,2,1290,
16,2,1255,
23,2,1361,
29,2,1328,
36,2,1166,
37,2,1285,
42,2,1331,
43,2,1181,
53,2,1234,
56,2,1397,
57,2,1475,
58,2,1302,
64,2,1329,radish not planted
65,2,1254,
66,2,1186,
69,2,1145,
70,2,1187,
74,2,1320,
76,2,1342,
77,2,1186,
78,2,1245,
80,2,1195,
83,2,1422,
90,2,1325,
91,2,1329,
96,2,1076,
99,2,1159,
102,2,1168,
104,2,1183,
106,2,1457,
110,2,1202,
111,2,1529,
113,2,1321,
114,2,1394,
115,2,1433,
117,2,1201,
121,2,1196,
122,2,1167,
128,2,1226,
129,2,1198,
134,2,1301,
135,2,1264,
144,2,1126,
145,2,1263,
147,2,1337,
152,2,1163,
154,2,1334,
157,2,1245,
159,2,,
164,2,1546,
166,2,1303,
2,3,1150,
3,3,1276,
4,3,1383,
5,3,1157,
17,3,1372,
19,3,1205,
20,3,1377,
21,3,1188,
22,3,1132,
26,3,1127,
31,3,1348,
32,3,1374,
41,3,1228,
45,3,1380,
49,3,1294,
54,3,1109,
59,3,1228,
61,3,1361,
62,3,1240,
63,3,1269,
67,3,1139,
68,3,1255,
72,3,1158,
73,3,1149,
79,3,1253,
81,3,1244,
85,3,1152,
92,3,1243,
94,3,1268,
95,3,1178,
98,3,1197,
101,3,1237,
103,3,1108,
105,3,1163,
108,3,1220,
116,3,1258,
119,3,1328,
120,3,1246,
123,3,1406,
124,3,1338,
126,3,1210,
130,3,1128,
131,3,1138,
136,3,1136,
139,3,1134,
140,3,1117,
148,3,1097,
149,3,1181,
150,3,1264,
151,3,1383,
153,3,1273,
155,3,1242,
158,3,1263,
161,3,1499,
163,3,1461,
165,3,1116,
