ID,x,y,trayID,rand,dens,richness,rep,SD,spID,comp,state0,state_final,day
ID1,0.86,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,I,7
ID2,3.56,0.607483908,1,det,add,1,1,0.5,sp_1,1,C,I,5
ID3,6.26,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,I,9
ID4,8.96,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,S,25
ID5,11.66,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,S,25
ID6,14.36,0.607483908,1,det,add,1,1,0.5,sp_1,1,C,S,25
ID7,17.06,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID8,19.76,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID9,22.46,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID10,2.21,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID11,4.91,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID12,7.61,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID13,10.31,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID14,13.01,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID15,15.71,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID16,18.41,2.945752498,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID17,21.11,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID18,23.81,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID19,0.86,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID20,3.56,5.284021088,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID21,6.26,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID22,8.96,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID23,11.66,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID24,14.36,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID25,17.06,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID26,19.76,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID27,22.46,5.284021088,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID28,2.21,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID29,4.91,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID30,7.61,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID31,10.31,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID32,13.01,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID33,15.71,7.622289679,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID34,18.41,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
