"trayID","horiz","vert","ID","x","y","rand","dens","richness","rep","SD","spID","state0","day_infected"
1,1,"J","ID1",0.445,1.3956,"det","add",1,1,0.5,"radish","C",NA
1,2,"J","ID2",3.245,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,3,"J","ID3",6.045,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,4,"J","ID4",8.845,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,5,"J","ID5",11.645,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,6,"J","ID6",14.445,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,7,"J","ID7",17.245,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,8,"J","ID8",20.045,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,9,"J","ID9",22.845,1.3956,"det","add",1,1,0.5,"radish","S",NA
1,1.5,"I","ID10",1.845,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,2.5,"I","ID11",4.645,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,3.5,"I","ID12",7.445,3.8204,"det","add",1,1,0.5,"radish","C",NA
1,4.5,"I","ID13",10.245,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,5.5,"I","ID14",13.045,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,6.5,"I","ID15",15.845,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,7.5,"I","ID16",18.645,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,8.5,"I","ID17",21.445,3.8204,"det","add",1,1,0.5,"radish","S",NA
1,1,"H","ID18",0.445,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,2,"H","ID19",3.245,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,3,"H","ID20",6.045,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,4,"H","ID21",8.845,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,5,"H","ID22",11.645,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,6,"H","ID23",14.445,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,7,"H","ID24",17.245,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,8,"H","ID25",20.045,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,9,"H","ID26",22.845,6.2453,"det","add",1,1,0.5,"radish","S",NA
1,1.5,"G","ID27",1.845,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,2.5,"G","ID28",4.645,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,3.5,"G","ID29",7.445,8.6702,"det","add",1,1,0.5,"radish","C",NA
1,4.5,"G","ID30",10.245,8.6702,"det","add",1,1,0.5,"radish","C",NA
1,5.5,"G","ID31",13.045,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,6.5,"G","ID32",15.845,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,7.5,"G","ID33",18.645,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,8.5,"G","ID34",21.445,8.6702,"det","add",1,1,0.5,"radish","S",NA
1,1,"F","ID35",0.445,11.0951,"det","add",1,1,0.5,"radish","S",NA
