ID,x,y,trayID,rand,dens,richness,rep,SD,spID,comp,state0
ID1,0.44500000000000095,1.3955670253757164,1,det,add,1,1,0.5,radish,1,S
ID2,3.2450000000000006,1.3955670253757164,1,det,add,1,1,0.5,radish,1,S
ID3,6.045000000000002,1.3955670253757166,1,det,add,1,1,0.5,radish,1,S
ID4,8.845,1.3955670253757162,1,det,add,1,1,0.5,radish,1,S
ID5,11.645,1.3955670253757162,1,det,add,1,1,0.5,radish,1,S
ID6,14.445,1.3955670253757162,1,det,add,1,1,0.5,radish,1,S
ID7,17.244999999999997,1.3955670253757164,1,det,add,1,1,0.5,radish,1,S
ID8,20.044999999999998,1.3955670253757164,1,det,add,1,1,0.5,radish,1,S
ID9,22.845,1.3955670253757164,1,det,add,1,1,0.5,radish,1,S
ID10,1.8450000000000009,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID11,4.645,3.820438155972143,1,det,add,1,1,0.5,radish,1,S
ID12,7.445000000000002,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID13,10.245000000000001,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID14,13.045000000000002,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID15,15.845000000000002,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID16,18.644999999999996,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID17,21.445,3.8204381559721443,1,det,add,1,1,0.5,radish,1,S
ID18,0.445000000000001,6.245309286568572,1,det,add,1,1,0.5,radish,1,S
ID19,3.245000000000001,6.245309286568572,1,det,add,1,1,0.5,radish,1,S
ID20,6.045000000000002,6.245309286568573,1,det,add,1,1,0.5,radish,1,C
ID21,8.845,6.245309286568573,1,det,add,1,1,0.5,radish,1,C
ID22,11.645,6.245309286568573,1,det,add,1,1,0.5,radish,1,S
ID23,14.445,6.245309286568573,1,det,add,1,1,0.5,radish,1,S
ID24,17.244999999999994,6.245309286568571,1,det,add,1,1,0.5,radish,1,S
ID25,20.044999999999998,6.245309286568572,1,det,add,1,1,0.5,radish,1,S
ID26,22.845,6.245309286568572,1,det,add,1,1,0.5,radish,1,S
ID27,1.8450000000000006,8.670180417164998,1,det,add,1,1,0.5,radish,1,S
ID28,4.6450000000000005,8.670180417164998,1,det,add,1,1,0.5,radish,1,S
ID29,7.445000000000001,8.670180417165,1,det,add,1,1,0.5,radish,1,S
ID30,10.244999999999997,8.670180417165001,1,det,add,1,1,0.5,radish,1,S
ID31,13.044999999999998,8.670180417165001,1,det,add,1,1,0.5,radish,1,S
ID32,15.844999999999999,8.670180417165001,1,det,add,1,1,0.5,radish,1,S
ID33,18.644999999999992,8.670180417165,1,det,add,1,1,0.5,radish,1,S
ID34,21.445,8.670180417165,1,det,add,1,1,0.5,radish,1,S
ID35,0.44500000000000095,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID36,3.2450000000000006,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID37,6.045000000000001,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID38,8.844999999999999,11.095051547761427,1,det,add,1,1,0.5,radish,1,C
ID39,11.645000000000001,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID40,14.445,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID41,17.244999999999997,11.095051547761425,1,det,add,1,1,0.5,radish,1,C
