"","species","rep","distance","trayID"
"1","radish",1,1.7,"1"
"2","radish",2,1.7,"2"
"3","radish",3,1.7,"3"
"4","radish",4,1.7,"4"
"5","radish",5,1.7,"5"
"6","mustard",1,1.7,"6"
"7","mustard",2,1.7,"7"
"8","mustard",3,1.7,"8"
"9","mustard",4,1.7,"9"
"10","mustard",5,1.7,"10"
"11","arugula",1,1.7,"11"
"12","arugula",2,1.7,"12"
"13","arugula",3,1.7,"13"
"14","arugula",4,1.7,"14"
"15","arugula",5,1.7,"15"
"16","pac_choy",1,1.7,"16"
"17","pac_choy",2,1.7,"17"
"18","pac_choy",3,1.7,"18"
"19","pac_choy",4,1.7,"19"
"20","pac_choy",5,1.7,"20"
"21","romaine",1,1.7,"21"
"22","romaine",2,1.7,"22"
"23","romaine",3,1.7,"23"
"24","romaine",4,1.7,"24"
"25","romaine",5,1.7,"25"
"26","basil",1,1.7,"26"
"27","basil",2,1.7,"27"
"28","basil",3,1.7,"28"
"29","basil",4,1.7,"29"
"30","basil",5,1.7,"30"
"31","clover",1,1.7,"31"
"32","clover",2,1.7,"32"
"33","clover",3,1.7,"33"
"34","clover",4,1.7,"34"
"35","clover",5,1.7,"35"
"36","alfalfa",1,1.7,"36"
"37","alfalfa",2,1.7,"37"
"38","alfalfa",3,1.7,"38"
"39","alfalfa",4,1.7,"39"
"40","alfalfa",5,1.7,"40"
