"trayID","horiz","vert","ID","x","y","spID","state0","comp","rep","day"
"1",1,"Q","ID1",0.76,0.4343,"radish","C",0.6,1,NA
"1",2,"Q","ID2",2.46,0.4343,"radish","S",0.6,1,NA
"1",3,"Q","ID3",4.16,0.4343,"radish","S",0.6,1,NA
"1",4,"Q","ID4",5.86,0.4343,"radish","S",0.6,1,NA
"1",5,"Q","ID5",7.56,0.4343,"radish","S",0.6,1,NA
"1",6,"Q","ID6",9.26,0.4343,"radish","S",0.6,1,NA
"1",7,"Q","ID7",10.96,0.4343,"radish","S",0.6,1,NA
"1",8,"Q","ID8",12.66,0.4343,"radish","S",0.6,1,NA
"1",9,"Q","ID9",14.36,0.4343,"radish","S",0.6,1,NA
"1",10,"Q","ID10",16.06,0.4343,"radish","S",0.6,1,NA
"1",11,"Q","ID11",17.76,0.4343,"radish","S",0.6,1,NA
"1",12,"Q","ID12",19.46,0.4343,"radish","S",0.6,1,NA
"1",13,"Q","ID13",21.16,0.4343,"radish","S",0.6,1,NA
"1",14,"Q","ID14",22.86,0.4343,"radish","S",0.6,1,NA
"1",1.5,"P","ID15",1.61,1.9065,"radish","S",0.6,1,NA
"1",2.5,"P","ID16",3.31,1.9065,"radish","S",0.6,1,NA
"1",3.5,"P","ID17",5.01,1.9065,"radish","S",0.6,1,NA
"1",4.5,"P","ID18",6.71,1.9065,"radish","S",0.6,1,NA
"1",5.5,"P","ID19",8.41,1.9065,"radish","S",0.6,1,NA
"1",6.5,"P","ID20",10.11,1.9065,"radish","S",0.6,1,NA
"1",7.5,"P","ID21",11.81,1.9065,"radish","S",0.6,1,NA
"1",8.5,"P","ID22",13.51,1.9065,"radish","S",0.6,1,NA
"1",9.5,"P","ID23",15.21,1.9065,"radish","S",0.6,1,NA
"1",10.5,"P","ID24",16.91,1.9065,"radish","S",0.6,1,NA
"1",11.5,"P","ID25",18.61,1.9065,"radish","C",0.6,1,NA
"1",12.5,"P","ID26",20.31,1.9065,"radish","S",0.6,1,NA
"1",13.5,"P","ID27",22.01,1.9065,"radish","S",0.6,1,NA
"1",14.5,"P","ID28",23.71,1.9065,"radish","S",0.6,1,NA
"1",1,"O","ID29",0.76,3.3788,"radish","C",0.6,1,NA
"1",2,"O","ID30",2.46,3.3788,"radish","S",0.6,1,NA
"1",3,"O","ID31",4.16,3.3788,"radish","S",0.6,1,NA
"1",4,"O","ID32",5.86,3.3788,"radish","C",0.6,1,NA
"1",5,"O","ID33",7.56,3.3788,"radish","S",0.6,1,NA
"1",6,"O","ID34",9.26,3.3788,"radish","S",0.6,1,NA
"1",7,"O","ID35",10.96,3.3788,"radish","S",0.6,1,NA
"1",8,"O","ID36",12.66,3.3788,"radish","S",0.6,1,NA
"1",9,"O","ID37",14.36,3.3788,"radish","S",0.6,1,NA
"1",10,"O","ID38",16.06,3.3788,"radish","S",0.6,1,NA
"1",11,"O","ID39",17.76,3.3788,"radish","S",0.6,1,NA
"1",12,"O","ID40",19.46,3.3788,"radish","S",0.6,1,NA
"1",13,"O","ID41",21.16,3.3788,"radish","S",0.6,1,NA
"1",14,"O","ID42",22.86,3.3788,"radish","S",0.6,1,NA
"1",1.5,"N","ID43",1.61,4.851,"radish","S",0.6,1,NA
"1",2.5,"N","ID44",3.31,4.851,"radish","S",0.6,1,NA
"1",3.5,"N","ID45",5.01,4.851,"radish","S",0.6,1,NA
"1",4.5,"N","ID46",6.71,4.851,"radish","S",0.6,1,NA
"1",5.5,"N","ID47",8.41,4.851,"radish","S",0.6,1,NA
