"isolate","spp","soil","distance","rep","tray","position"
"Rz3","Aru","coir_lite",1,1,NA,NA
"Rz3","Aru","coir_lite",1,2,NA,NA
"Rz3","Aru","coir_lite",1,3,NA,NA
"Rz3","Aru","coir_lite",1,4,NA,NA
"Rz3","Aru","coir_lite",1,5,NA,NA
"Rz3","Aru","coir_lite",1,6,NA,NA
"Rz3","Aru","coir_lite",1,7,NA,NA
"Rz3","Aru","coir_lite",1,8,NA,NA
"Rz3","Aru","coir_lite",1,9,NA,NA
"Rz3","Aru","coir_lite",1,10,NA,NA
"Rz3","Aru","coir_lite",2,1,NA,NA
"Rz3","Aru","coir_lite",2,2,NA,NA
"Rz3","Aru","coir_lite",2,3,NA,NA
"Rz3","Aru","coir_lite",2,4,NA,NA
"Rz3","Aru","coir_lite",2,5,NA,NA
"Rz3","Aru","coir_lite",2,6,NA,NA
"Rz3","Aru","coir_lite",2,7,NA,NA
"Rz3","Aru","coir_lite",2,8,NA,NA
"Rz3","Aru","coir_lite",2,9,NA,NA
"Rz3","Aru","coir_lite",2,10,NA,NA
"Rz3","Aru","coir_lite",4,1,NA,NA
"Rz3","Aru","coir_lite",4,2,NA,NA
"Rz3","Aru","coir_lite",4,3,NA,NA
"Rz3","Aru","coir_lite",4,4,NA,NA
"Rz3","Aru","coir_lite",4,5,NA,NA
"Rz3","Aru","coir_lite",4,6,NA,NA
"Rz3","Aru","coir_lite",4,7,NA,NA
"Rz3","Aru","coir_lite",4,8,NA,NA
"Rz3","Aru","coir_lite",4,9,NA,NA
"Rz3","Aru","coir_lite",4,10,NA,NA
"Rz3","Aru","coir_lite",5,1,NA,NA
"Rz3","Aru","coir_lite",5,2,NA,NA
"Rz3","Aru","coir_lite",5,3,NA,NA
"Rz3","Aru","coir_lite",5,4,NA,NA
"Rz3","Aru","coir_lite",5,5,NA,NA
"Rz3","Aru","coir_lite",5,6,NA,NA
"Rz3","Aru","coir_lite",5,7,NA,NA
"Rz3","Aru","coir_lite",5,8,NA,NA
"Rz3","Aru","coir_lite",5,9,NA,NA
"Rz3","Aru","coir_lite",5,10,NA,NA
"Rz3","Aru","UC_mod",1,1,NA,NA
"Rz3","Aru","UC_mod",1,2,NA,NA
"Rz3","Aru","UC_mod",1,3,NA,NA
"Rz3","Aru","UC_mod",1,4,NA,NA
"Rz3","Aru","UC_mod",1,5,NA,NA
"Rz3","Aru","UC_mod",1,6,NA,NA
"Rz3","Aru","UC_mod",1,7,NA,NA
