"family","species","isolate","obs_ease","nplanted","emerged_day6","emerged_day9","infected_day3","infected_day4","infected_day5","infected_day6","notes"
"asteraceae","romaine","Rz1_143N",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","romaine","Rz2_RS293",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","romaine","Rz3_B1429",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","romaine","Rz4_Tat1",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","endive","Rz1_143N",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","endive","Rz2_RS293",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","endive","Rz3_B1429",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","endive","Rz4_Tat1",3,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","sunflower","Rz1_143N",2.5,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","sunflower","Rz2_RS293",2.5,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","sunflower","Rz3_B1429",2.5,NA,NA,NA,NA,NA,NA,NA,NA
"asteraceae","sunflower","Rz4_Tat1",2.5,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_F1","Rz1_143N",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_F1","Rz2_RS293",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_F1","Rz3_B1429",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_F1","Rz4_Tat1",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_micro","Rz1_143N",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_micro","Rz2_RS293",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_micro","Rz3_B1429",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","PC_micro","Rz4_Tat1",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","radish","Rz1_143N",1,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","radish","Rz2_RS293",1,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","radish","Rz3_B1429",1,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","radish","Rz4_Tat1",1,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","arugula","Rz1_143N",2,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","arugula","Rz2_RS293",2,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","arugula","Rz3_B1429",2,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","arugula","Rz4_Tat1",2,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","celosia","Rz1_143N",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","celosia","Rz2_RS293",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","celosia","Rz3_B1429",3,NA,NA,NA,NA,NA,NA,NA,NA
"brassica","celosia","Rz4_Tat1",3,NA,NA,NA,NA,NA,NA,NA,NA
"amaranth","beets_micro","Rz1_143N",2,NA,NA,NA,NA,NA,NA,NA,NA
"amaranth","beets_micro","Rz2_RS293",2,NA,NA,NA,NA,NA,NA,NA,NA
"amaranth","beets_micro","Rz3_B1429",2,NA,NA,NA,NA,NA,NA,NA,NA
"amaranth","beets_micro","Rz4_Tat1",2,NA,NA,NA,NA,NA,NA,NA,NA
"amaranth","beets_F1","Rz1_143N",2,NA,NA,NA,NA,NA,NA,NA,NA
