"ID","x","y","trayID","rand","dens","richness","rep","SD","spID","comp","state0","state_final","day"
"ID1",0.859999999999998,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID2",3.56,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"C",NA,NA
"ID3",6.26,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID4",8.96,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID5",11.66,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID6",14.36,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"C",NA,NA
"ID7",17.06,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID8",19.76,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID9",22.46,0.607483907931876,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID10",2.21,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID11",4.91,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID12",7.61,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID13",10.31,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID14",13.01,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID15",15.71,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID16",18.41,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"C",NA,NA
"ID17",21.11,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID18",23.81,2.94575249814986,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID19",0.859999999999998,5.28402108836785,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
"ID20",3.56,5.28402108836785,1,"det","add",1,1,0.5,"sp_1",1,"C",NA,NA
"ID21",6.26,5.28402108836784,1,"det","add",1,1,0.5,"sp_1",1,"S",NA,NA
