Date/Time,Unit,Value,button
10/25/20 11:04,C,23,back
10/25/20 11:34,C,22.5,back
10/25/20 12:04,C,21,back
10/25/20 12:34,C,23.5,back
10/25/20 13:04,C,23.5,back
10/25/20 13:34,C,24,back
10/25/20 14:04,C,22,back
10/25/20 14:34,C,21.5,back
10/25/20 15:04,C,21.5,back
10/25/20 15:34,C,20.5,back
10/25/20 16:04,C,19.5,back
10/25/20 16:34,C,17.5,back
10/25/20 17:04,C,20.5,back
10/25/20 17:34,C,19.5,back
10/25/20 18:04,C,19,back
10/25/20 18:34,C,20,back
10/25/20 19:04,C,17,back
10/25/20 19:34,C,17,back
10/25/20 20:04,C,16.5,back
10/25/20 20:34,C,16,back
10/25/20 21:04,C,17,back
10/25/20 21:34,C,20.5,back
10/25/20 22:04,C,20,back
10/25/20 22:34,C,20.5,back
10/25/20 23:04,C,16.5,back
10/25/20 23:34,C,20,back
10/26/20 0:04,C,20,back
10/26/20 0:34,C,20,back
10/26/20 1:04,C,20,back
10/26/20 1:34,C,20,back
10/26/20 2:04,C,20,back
10/26/20 2:34,C,20,back
10/26/20 3:04,C,20,back
10/26/20 3:34,C,20,back
10/26/20 4:04,C,20,back
10/26/20 4:34,C,20,back
10/26/20 5:04,C,20,back
10/26/20 5:34,C,19.5,back
10/26/20 6:04,C,19.5,back
10/26/20 6:34,C,20,back
10/26/20 7:04,C,19.5,back
10/26/20 7:34,C,19.5,back
10/26/20 8:04,C,20.5,back
10/26/20 8:34,C,16,back
10/26/20 9:04,C,17,back
10/26/20 9:34,C,18,back
10/26/20 10:04,C,18,back
10/26/20 10:34,C,16.5,back
10/26/20 11:04,C,18,back
10/26/20 11:34,C,20,back
10/26/20 12:04,C,20.5,back
10/26/20 12:34,C,21.5,back
10/26/20 13:04,C,22.5,back
10/26/20 13:34,C,23,back
10/26/20 14:04,C,23,back
10/26/20 14:34,C,22.5,back
10/26/20 15:04,C,22.5,back
10/26/20 15:34,C,21.5,back
10/26/20 16:04,C,20.5,back
10/26/20 16:34,C,18.5,back
10/26/20 17:04,C,20,back
10/26/20 17:34,C,20.5,back
10/26/20 18:04,C,20,back
10/26/20 18:34,C,19,back
10/26/20 19:04,C,19,back
10/26/20 19:34,C,18.5,back
10/26/20 20:04,C,18.5,back
10/26/20 20:34,C,20,back
10/26/20 21:04,C,17,back
10/26/20 21:34,C,18.5,back
10/26/20 22:04,C,20.5,back
10/26/20 22:34,C,16.5,back
10/26/20 23:04,C,19,back
10/26/20 23:34,C,20,back
10/27/20 0:04,C,20.5,back
10/27/20 0:34,C,17.5,back
10/27/20 1:04,C,16.5,back
10/27/20 1:34,C,16,back
10/27/20 2:04,C,17,back
10/27/20 2:34,C,17.5,back
10/27/20 3:04,C,18,back
10/27/20 3:34,C,18.5,back
10/27/20 4:04,C,19.5,back
10/27/20 4:34,C,19.5,back
10/27/20 5:04,C,19,back
10/27/20 5:34,C,17.5,back
10/27/20 6:04,C,18,back
10/27/20 6:34,C,20.5,back
10/27/20 7:04,C,20,back
10/27/20 7:34,C,18,back
10/27/20 8:04,C,18.5,back
10/27/20 8:34,C,19,back
10/27/20 9:04,C,15,back
10/27/20 9:34,C,16,back
10/27/20 10:04,C,16,back
10/27/20 10:34,C,16.5,back
10/27/20 11:04,C,19.5,back
10/27/20 11:34,C,22,back
10/27/20 12:04,C,23.5,back
10/27/20 12:34,C,26,back
10/27/20 13:04,C,25.5,back
10/27/20 13:34,C,28.5,back
10/27/20 14:04,C,28,back
10/27/20 14:34,C,27.5,back
10/27/20 15:04,C,28.5,back
10/27/20 15:34,C,27.5,back
