ID,x,y,horiz,vert,trayID,rand,dens,richness,rep,SD,spID,comp,state0,day_infected,
ID1,0.445,1.395567025,1,J,1,det,add,1,1,0.5,radish,1,C,6,
ID2,3.245,1.395567025,2,J,1,det,add,1,1,0.5,radish,1,S,,
ID3,6.045,1.395567025,3,J,1,det,add,1,1,0.5,radish,1,S,,
ID4,8.845,1.395567025,4,J,1,det,add,1,1,0.5,radish,1,S,15,
ID5,11.645,1.395567025,5,J,1,det,add,1,1,0.5,radish,1,S,18,
ID6,14.445,1.395567025,6,J,1,det,add,1,1,0.5,radish,1,C,6,
ID7,17.245,1.395567025,7,J,1,det,add,1,1,0.5,radish,1,S,18,
ID8,20.045,1.395567025,8,J,1,det,add,1,1,0.5,radish,1,S,,
ID9,22.845,1.395567025,9,J,1,det,add,1,1,0.5,radish,1,S,,
ID10,1.845,3.820438156,1.5,I,1,det,add,1,1,0.5,radish,1,S,18,
ID11,4.645,3.820438156,2.5,I,1,det,add,1,1,0.5,radish,1,C,6,
ID12,7.445,3.820438156,3.5,I,1,det,add,1,1,0.5,radish,1,C,6,
ID13,10.245,3.820438156,4.5,I,1,det,add,1,1,0.5,radish,1,S,15,
ID14,13.045,3.820438156,5.5,I,1,det,add,1,1,0.5,radish,1,S,12,
ID15,15.845,3.820438156,6.5,I,1,det,add,1,1,0.5,radish,1,S,18,
ID16,18.645,3.820438156,7.5,I,1,det,add,1,1,0.5,radish,1,S,,
ID17,21.445,3.820438156,8.5,I,1,det,add,1,1,0.5,radish,1,S,,
ID18,0.445,6.245309287,1,H,1,det,add,1,1,0.5,radish,1,S,,
ID19,3.245,6.245309287,2,H,1,det,add,1,1,0.5,radish,1,S,,
ID20,6.045,6.245309287,3,H,1,det,add,1,1,0.5,radish,1,S,18,
ID21,8.845,6.245309287,4,H,1,det,add,1,1,0.5,radish,1,S,15,
ID22,11.645,6.245309287,5,H,1,det,add,1,1,0.5,radish,1,S,15,
ID23,14.445,6.245309287,6,H,1,det,add,1,1,0.5,radish,1,S,12,
ID24,17.245,6.245309287,7,H,1,det,add,1,1,0.5,radish,1,S,,
ID25,20.045,6.245309287,8,H,1,det,add,1,1,0.5,radish,1,S,,
ID26,22.845,6.245309287,9,H,1,det,add,1,1,0.5,radish,1,S,12,
ID27,1.845,8.670180417,1.5,G,1,det,add,1,1,0.5,radish,1,S,,
