tray,day,date_sowed,day0,day3,day6,day9,day12,day15,day18,notes
1,1,2/8/21,,,,,,,,
4,1,2/8/21,,,,,,,,
7,1,2/8/21,,,,,,,,
10,1,2/8/21,,,,,,,,
14,1,2/8/21,,,,,,,,
18,1,2/8/21,,,,,,,,
21,1,2/8/21,,,,,,,,
24,1,2/8/21,,,,,,,,
27,1,2/8/21,,,,,,,,
30,1,2/8/21,,,,,,,,
34,1,2/8/21,,,,,,,,
37,1,2/8/21,,,,,,,,
40,1,2/8/21,,,,,,,,
43,1,2/8/21,,,,,,,,
46,1,2/8/21,,,,,,,,
49,1,2/8/21,,,,,,,,
52,1,2/8/21,,,,,,,,
55,1,2/8/21,,,,,,,,
58,1,2/8/21,,,,,,,,
61,1,2/8/21,,,,,,,,
64,1,2/8/21,,,,,,,,
67,1,2/8/21,,,,,,,,
70,1,2/8/21,,,,,,,,
73,1,2/8/21,,,,,,,,
76,1,2/8/21,,,,,,,,
79,1,2/8/21,,,,,,,,
82,1,2/8/21,,,,,,,,
85,1,2/8/21,,,,,,,,
88,1,2/8/21,,,,,,,,
91,1,2/8/21,,,,,,,,
94,1,2/8/21,,,,,,,,
97,1,2/8/21,,,,,,,,
100,1,2/8/21,,,,,,,,
103,1,2/8/21,,,,,,,,
106,1,2/8/21,,,,,,,,
119,1,2/8/21,,,,,,,,
122,1,2/8/21,,,,,,,,
125,1,2/8/21,,,,,,,,
128,1,2/8/21,,,,,,,,
131,1,2/8/21,,,,,,,,
134,1,2/8/21,,,,,,,,
137,1,2/8/21,,,,,,,,
140,1,2/8/21,,,,,,,,
143,1,2/8/21,,,,,,,,
146,1,2/8/21,,,,,,,,
149,1,2/8/21,,,,,,,,
152,1,2/8/21,,,,,,,,
155,1,2/8/21,,,,,,,,
158,1,2/8/21,,,,,,,,
161,1,2/8/21,,,,,,,,
164,1,2/8/21,,,,,,,,
167,1,2/8/21,,,,,,,,
201,1,2/8/21,,,,,,,,
204,1,2/8/21,,,,,,,,
207,1,2/8/21,,,,,,,,
210,1,2/8/21,,,,,,,,
213,1,2/8/21,,,,,,,,
216,1,2/8/21,,,,,,,,
2,2,2/9/21,,,,,,,,
5,2,2/9/21,,,,,,,,
8,2,2/9/21,,,,,,,,
12,2,2/9/21,,,,,,,,
15,2,2/9/21,,,,,,,,
19,2,2/9/21,,,,,,,,
22,2,2/9/21,,,,,,,,
25,2,2/9/21,,,,,,,,
28,2,2/9/21,,,,,,,,
31,2,2/9/21,,,,,,,,
35,2,2/9/21,,,,,,,,
38,2,2/9/21,,,,,,,,
41,2,2/9/21,,,,,,,,
44,2,2/9/21,,,,,,,,
47,2,2/9/21,,,,,,,,
50,2,2/9/21,,,,,,,,
53,2,2/9/21,,,,,,,,
56,2,2/9/21,,,,,,,,
59,2,2/9/21,,,,,,,,
62,2,2/9/21,,,,,,,,
65,2,2/9/21,,,,,,,,
68,2,2/9/21,,,,,,,,
71,2,2/9/21,,,,,,,,
