"rep","dens","rand","rich","species","n","time","n.I","n.E","n.S","pI","dI"
1,"sub",FALSE,1,"1",300,1,30,96,270,0.1,NA
1,"sub",FALSE,1,"1",300,2,30,96,270,0.1,0
1,"sub",FALSE,1,"1",300,3,123,108,177,0.41,93
1,"sub",FALSE,1,"1",300,4,125,106,175,0.416666666666667,2
1,"sub",FALSE,1,"1",300,5,226,61,74,0.753333333333333,101
1,"sub",FALSE,1,"1",300,6,231,58,69,0.77,5
1,"sub",FALSE,1,"1",300,7,287,13,13,0.956666666666667,56
1,"sub",FALSE,1,"1",300,8,289,11,11,0.963333333333333,2
1,"sub",FALSE,1,"1",300,9,300,0,0,1,11
1,"sub",FALSE,1,"1",300,10,300,0,0,1,0
1,"sub",FALSE,1,"1",300,11,300,0,0,1,0
1,"sub",FALSE,1,"1",300,12,300,0,0,1,0
1,"sub",FALSE,1,"1",300,13,300,0,0,1,0
1,"sub",FALSE,1,"1",300,14,300,0,0,1,0
1,"sub",FALSE,1,"1",300,15,300,0,0,1,0
1,"sub",FALSE,1,"1",300,16,300,0,0,1,0
1,"sub",FALSE,1,"1",300,17,300,0,0,1,0
1,"sub",FALSE,1,"1",300,18,300,0,0,1,0
1,"sub",FALSE,1,"1",300,19,300,0,0,1,0
1,"sub",FALSE,1,"1",300,20,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,1,30,96,270,0.1,NA
1,"sub",FALSE,1,"tot",300,2,30,96,270,0.1,0
1,"sub",FALSE,1,"tot",300,3,123,108,177,0.41,93
1,"sub",FALSE,1,"tot",300,4,125,106,175,0.416666666666667,2
1,"sub",FALSE,1,"tot",300,5,226,61,74,0.753333333333333,101
1,"sub",FALSE,1,"tot",300,6,231,58,69,0.77,5
1,"sub",FALSE,1,"tot",300,7,287,13,13,0.956666666666667,56
1,"sub",FALSE,1,"tot",300,8,289,11,11,0.963333333333333,2
1,"sub",FALSE,1,"tot",300,9,300,0,0,1,11
1,"sub",FALSE,1,"tot",300,10,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,11,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,12,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,13,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,14,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,15,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,16,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,17,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,18,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,19,300,0,0,1,0
1,"sub",FALSE,1,"tot",300,20,300,0,0,1,0
1,"sub",FALSE,2,"1",169,1,17,49,152,0.100591715976331,NA
1,"sub",FALSE,2,"1",169,2,17,49,152,0.100591715976331,0
1,"sub",FALSE,2,"1",169,3,64,37,105,0.378698224852071,47
1,"sub",FALSE,2,"1",169,4,66,39,103,0.390532544378698,2
1,"sub",FALSE,2,"1",169,5,99,32,70,0.585798816568047,33
1,"sub",FALSE,2,"1",169,6,105,31,64,0.621301775147929,6
1,"sub",FALSE,2,"1",169,7,130,17,39,0.769230769230769,25
1,"sub",FALSE,2,"1",169,8,135,18,34,0.798816568047337,5
1,"sub",FALSE,2,"1",169,9,146,10,23,0.863905325443787,11
1,"sub",FALSE,2,"1",169,10,153,5,16,0.905325443786982,7
1,"sub",FALSE,2,"1",169,11,156,6,13,0.923076923076923,3
1,"sub",FALSE,2,"1",169,12,157,6,12,0.928994082840237,1
1,"sub",FALSE,2,"1",169,13,162,2,7,0.958579881656805,5
1,"sub",FALSE,2,"1",169,14,163,2,6,0.964497041420118,1
1,"sub",FALSE,2,"1",169,15,164,3,5,0.970414201183432,1
1,"sub",FALSE,2,"1",169,16,164,3,5,0.970414201183432,0
1,"sub",FALSE,2,"1",169,17,167,0,2,0.988165680473373,3
1,"sub",FALSE,2,"1",169,18,167,0,2,0.988165680473373,0
1,"sub",FALSE,2,"1",169,19,167,0,2,0.988165680473373,0
1,"sub",FALSE,2,"1",169,20,167,0,2,0.988165680473373,0
1,"sub",FALSE,2,"2",131,1,13,41,118,0.099236641221374,NA
1,"sub",FALSE,2,"2",131,2,13,41,118,0.099236641221374,0
1,"sub",FALSE,2,"2",131,3,22,64,109,0.16793893129771,9
1,"sub",FALSE,2,"2",131,4,26,63,105,0.198473282442748,4
1,"sub",FALSE,2,"2",131,5,35,67,96,0.267175572519084,9
1,"sub",FALSE,2,"2",131,6,39,67,92,0.297709923664122,4
1,"sub",FALSE,2,"2",131,7,46,70,85,0.351145038167939,7
1,"sub",FALSE,2,"2",131,8,54,64,77,0.412213740458015,8
1,"sub",FALSE,2,"2",131,9,65,58,66,0.49618320610687,11
1,"sub",FALSE,2,"2",131,10,68,57,63,0.519083969465649,3
1,"sub",FALSE,2,"2",131,11,73,52,58,0.557251908396947,5
1,"sub",FALSE,2,"2",131,12,78,48,53,0.595419847328244,5
1,"sub",FALSE,2,"2",131,13,81,49,50,0.618320610687023,3
1,"sub",FALSE,2,"2",131,14,81,49,50,0.618320610687023,0
1,"sub",FALSE,2,"2",131,15,86,44,45,0.656488549618321,5
1,"sub",FALSE,2,"2",131,16,86,44,45,0.656488549618321,0
1,"sub",FALSE,2,"2",131,17,86,45,45,0.656488549618321,0
1,"sub",FALSE,2,"2",131,18,87,44,44,0.66412213740458,1
1,"sub",FALSE,2,"2",131,19,87,44,44,0.66412213740458,0
1,"sub",FALSE,2,"2",131,20,87,44,44,0.66412213740458,0
1,"sub",FALSE,2,"tot",300,1,30,90,270,0.1,NA
1,"sub",FALSE,2,"tot",300,2,30,90,270,0.1,0
1,"sub",FALSE,2,"tot",300,3,86,101,214,0.286666666666667,56
1,"sub",FALSE,2,"tot",300,4,92,102,208,0.306666666666667,6
1,"sub",FALSE,2,"tot",300,5,134,99,166,0.446666666666667,42
1,"sub",FALSE,2,"tot",300,6,144,98,156,0.48,10
1,"sub",FALSE,2,"tot",300,7,176,87,124,0.586666666666667,32
1,"sub",FALSE,2,"tot",300,8,189,82,111,0.63,13
1,"sub",FALSE,2,"tot",300,9,211,68,89,0.703333333333333,22
1,"sub",FALSE,2,"tot",300,10,221,62,79,0.736666666666667,10
1,"sub",FALSE,2,"tot",300,11,229,58,71,0.763333333333333,8
1,"sub",FALSE,2,"tot",300,12,235,54,65,0.783333333333333,6
1,"sub",FALSE,2,"tot",300,13,243,51,57,0.81,8
1,"sub",FALSE,2,"tot",300,14,244,51,56,0.813333333333333,1
1,"sub",FALSE,2,"tot",300,15,250,47,50,0.833333333333333,6
1,"sub",FALSE,2,"tot",300,16,250,47,50,0.833333333333333,0
1,"sub",FALSE,2,"tot",300,17,253,45,47,0.843333333333333,3
1,"sub",FALSE,2,"tot",300,18,254,44,46,0.846666666666667,1
1,"sub",FALSE,2,"tot",300,19,254,44,46,0.846666666666667,0
1,"sub",FALSE,2,"tot",300,20,254,44,46,0.846666666666667,0
1,"sub",FALSE,4,"1",111,1,14,29,97,0.126126126126126,NA
1,"sub",FALSE,4,"1",111,2,14,29,97,0.126126126126126,0
1,"sub",FALSE,4,"1",111,3,41,26,70,0.369369369369369,27
1,"sub",FALSE,4,"1",111,4,42,25,69,0.378378378378378,1
1,"sub",FALSE,4,"1",111,5,64,11,47,0.576576576576577,22
1,"sub",FALSE,4,"1",111,6,65,10,46,0.585585585585586,1
1,"sub",FALSE,4,"1",111,7,73,7,38,0.657657657657658,8
1,"sub",FALSE,4,"1",111,8,73,7,38,0.657657657657658,0
1,"sub",FALSE,4,"1",111,9,79,5,32,0.711711711711712,6
1,"sub",FALSE,4,"1",111,10,79,5,32,0.711711711711712,0
1,"sub",FALSE,4,"1",111,11,82,6,29,0.738738738738739,3
1,"sub",FALSE,4,"1",111,12,82,6,29,0.738738738738739,0
1,"sub",FALSE,4,"1",111,13,87,3,24,0.783783783783784,5
1,"sub",FALSE,4,"1",111,14,87,3,24,0.783783783783784,0
1,"sub",FALSE,4,"1",111,15,87,3,24,0.783783783783784,0
1,"sub",FALSE,4,"1",111,16,87,3,24,0.783783783783784,0
1,"sub",FALSE,4,"1",111,17,88,4,23,0.792792792792793,1
1,"sub",FALSE,4,"1",111,18,88,4,23,0.792792792792793,0
1,"sub",FALSE,4,"1",111,19,90,2,21,0.810810810810811,2
1,"sub",FALSE,4,"1",111,20,91,1,20,0.81981981981982,1
1,"sub",FALSE,4,"2",88,1,7,29,81,0.0795454545454545,NA
1,"sub",FALSE,4,"2",88,2,7,29,81,0.0795454545454545,0
1,"sub",FALSE,4,"2",88,3,13,37,75,0.147727272727273,6
