"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
1,"sub",FALSE,1,"1",300,300,1,101,5,270,1.194743130227
1,"sub",FALSE,1,"tot",300,300,1,101,5,270,1.194743130227
1,"sub",FALSE,2,"1",169,167,0.988165680473373,47,3,150,1.19752620545073
1,"sub",FALSE,2,"2",131,87,0.66412213740458,11,9,118,0.103078704122425
1,"sub",FALSE,2,"tot",300,254,0.846666666666667,56,3,268,0.261466390674365
1,"sub",FALSE,4,"1",111,91,0.81981981981982,27,3,78,1.41025641025641
1,"sub",FALSE,4,"2",88,36,0.409090909090909,6,3,64,0.109751506024096
1,"sub",FALSE,4,"3",60,17,0.283333333333333,2,9,50,0.0359281437125749
1,"sub",FALSE,4,"4",41,2,0.0487804878048781,0,2,30,0.0306802721088435
1,"sub",FALSE,4,"tot",300,146,0.486666666666667,34,3,222,0.135624501894548
1,"sub",FALSE,6,"1",93,86,0.924731182795699,26,5,79,1.3351343007101
1,"sub",FALSE,6,"2",74,33,0.445945945945946,6,3,56,0.0996867167919799
1,"sub",FALSE,6,"3",52,16,0.307692307692308,3,3,36,0.0780780780780781
1,"sub",FALSE,6,"4",36,3,0.0833333333333333,0,2,27,0.0273348519362187
1,"sub",FALSE,6,"5",26,2,0.0769230769230769,0,2,21,0.0185900185900186
1,"sub",FALSE,6,"6",19,2,0.105263157894737,0,2,15,0.0210235131396957
1,"sub",FALSE,6,"tot",300,142,0.473333333333333,34,3,234,0.108205371363266
2,"sub",FALSE,1,"1",300,300,1,89,5,270,1.13765642775882
2,"sub",FALSE,1,"tot",300,300,1,89,5,270,1.13765642775882
2,"sub",FALSE,2,"1",168,168,1,43,3,152,1.06105263157895
2,"sub",FALSE,2,"2",132,84,0.636363636363636,11,7,118,0.0978813559322034
2,"sub",FALSE,2,"tot",300,252,0.84,53,3,270,0.246696035242291
2,"sub",FALSE,4,"1",110,98,0.890909090909091,35,3,87,1.44875478927203
2,"sub",FALSE,4,"2",88,46,0.522727272727273,5,3,68,0.127141382868937
2,"sub",FALSE,4,"3",60,18,0.3,3,8,49,0.0426716141001855
2,"sub",FALSE,4,"4",42,3,0.0714285714285714,0,2,36,0.0119453924914676
2,"sub",FALSE,4,"tot",300,165,0.55,41,3,240,0.127484309623431
2,"sub",FALSE,6,"1",95,78,0.821052631578947,26,3,67,1.62290954864233
2,"sub",FALSE,6,"2",75,30,0.4,6,5,50,0.133018867924528
2,"sub",FALSE,6,"3",51,10,0.196078431372549,1,3,30,0.0977011494252874
2,"sub",FALSE,6,"4",36,1,0.0277777777777778,0,2,26,0.0323508267433501
2,"sub",FALSE,6,"5",25,2,0.08,0,2,14,0.0861528822055138
2,"sub",FALSE,6,"6",18,2,0.111111111111111,0,2,11,0.0698447893569845
2,"sub",FALSE,6,"tot",300,123,0.41,31,3,198,0.158166244890014
3,"sub",FALSE,1,"1",300,300,1,95,5,270,1.12994350282486
3,"sub",FALSE,1,"tot",300,300,1,95,5,270,1.12994350282486
3,"sub",FALSE,2,"1",169,164,0.970414201183432,47,3,148,1.07171976445719
3,"sub",FALSE,2,"2",131,86,0.656488549618321,13,5,115,0.120121574283948
3,"sub",FALSE,2,"tot",300,250,0.833333333333333,56,3,263,0.286564900817323
3,"sub",FALSE,4,"1",109,100,0.917431192660551,31,3,89,1.34842810123709
3,"sub",FALSE,4,"2",88,36,0.409090909090909,9,5,62,0.119042663891779
3,"sub",FALSE,4,"3",61,17,0.278688524590164,3,3,49,0.0430625080220768
3,"sub",FALSE,4,"4",42,2,0.0476190476190476,0,2,37,0.0095389507154213
3,"sub",FALSE,4,"tot",300,155,0.516666666666667,36,3,237,0.122038299253489
3,"sub",FALSE,6,"1",94,68,0.723404255319149,23,3,56,2.42747252747253
3,"sub",FALSE,6,"2",75,30,0.4,7,5,54,0.123866751001476
3,"sub",FALSE,6,"3",52,11,0.211538461538462,2,4,34,0.0812077043206663
3,"sub",FALSE,6,"4",36,2,0.0555555555555556,0,2,26,0.0309065934065934
3,"sub",FALSE,6,"5",24,5,0.208333333333333,0,2,14,0.0729483282674772
3,"sub",FALSE,6,"6",19,2,0.105263157894737,0,2,11,0.0767676767676768
3,"sub",FALSE,6,"tot",300,118,0.393333333333333,27,3,195,0.155701665927151
4,"sub",FALSE,1,"1",300,300,1,96,5,270,1.11482720178372
4,"sub",FALSE,1,"tot",300,300,1,96,5,270,1.11482720178372
4,"sub",FALSE,2,"1",169,167,0.988165680473373,40,3,154,1.01858362631843
4,"sub",FALSE,2,"2",131,81,0.618320610687023,9,5,115,0.0935796807478614
4,"sub",FALSE,2,"tot",300,248,0.826666666666667,47,3,269,0.237956441547768
4,"sub",FALSE,4,"1",111,87,0.783783783783784,22,3,78,1.30349062702004
4,"sub",FALSE,4,"2",87,42,0.482758620689655,9,5,71,0.0939798080518509
4,"sub",FALSE,4,"3",61,23,0.377049180327869,3,3,42,0.0943895377857642
4,"sub",FALSE,4,"4",41,2,0.0487804878048781,0,2,34,0.016358869129047
4,"sub",FALSE,4,"tot",300,154,0.513333333333333,26,3,225,0.148230912476723
4,"sub",FALSE,6,"1",94,71,0.75531914893617,23,3,58,2.53908045977012
4,"sub",FALSE,6,"2",74,25,0.337837837837838,6,3,49,0.139723605977824
