"time","species","comp"
1,"1",0.206894404668567
2,"1",0.9
3,"1",0.544204330794616
4,"1",0.206894404668567
5,"1",0.0689411557171625
6,"1",0.0224015677048974
7,"1",0.00738894300519655
8,"1",0.00251343381743792
9,"1",0.000886843622015344
10,"1",0.000325011782892677
11,"1",0.000123628599383454
12,"1",4.8731222115566e-05
13,"1",1.98658319896865e-05
14,"1",8.35831740274427e-06
15,"1",3.62211259286154e-06
16,"1",1.61361021628469e-06
17,"1",7.37645072847555e-07
18,"1",3.45450734430167e-07
19,"1",1.65481953755852e-07
20,"1",8.09714888517218e-08
1,"2",0.0919530687415855
2,"2",0.4
3,"2",0.241868591464274
4,"2",0.0919530687415855
5,"2",0.0306405136520722
6,"2",0.00995625231328776
7,"2",0.00328397466897624
8,"2",0.00111708169663908
9,"2",0.000394152720895708
10,"2",0.000144449681285634
11,"2",5.49460441704239e-05
12,"2",2.16583209402516e-05
13,"2",8.82925866208287e-06
14,"2",3.71480773455301e-06
15,"2",1.60982781904957e-06
16,"2",7.1716009612653e-07
17,"2",3.27842254598913e-07
18,"2",1.53533659746741e-07
19,"2",7.3547535002601e-08
20,"2",3.5987328378543e-08
1,"3",0.0689648015561891
2,"3",0.3
3,"3",0.181401443598205
4,"3",0.0689648015561891
5,"3",0.0229803852390542
6,"3",0.00746718923496581
7,"3",0.00246298100173218
8,"3",0.000837811272479307
9,"3",0.000295614540671781
10,"3",0.000108337260964226
11,"3",4.12095331278179e-05
12,"3",1.62437407051887e-05
13,"3",6.62194399656215e-06
14,"3",2.78610580091476e-06
15,"3",1.20737086428718e-06
16,"3",5.37870072094898e-07
17,"3",2.45881690949185e-07
18,"3",1.15150244810056e-07
19,"3",5.51606512519507e-08
20,"3",2.69904962839073e-08
1,"4",0.0229882671853964
2,"4",0.1
3,"4",0.0604671478660684
4,"4",0.0229882671853964
5,"4",0.00766012841301806
6,"4",0.00248906307832194
7,"4",0.000820993667244061
8,"4",0.000279270424159769
9,"4",9.85381802239271e-05
10,"4",3.61124203214085e-05
11,"4",1.3736511042606e-05
12,"4",5.41458023506289e-06
13,"4",2.20731466552072e-06
14,"4",9.28701933638253e-07
15,"4",4.02456954762393e-07
16,"4",1.79290024031633e-07
17,"4",8.19605636497283e-08
18,"4",3.83834149366852e-08
19,"4",1.83868837506502e-08
20,"4",8.99683209463576e-09
1,"5",0
2,"5",0
3,"5",0
4,"5",0
5,"5",0
6,"5",0
7,"5",0
8,"5",0
9,"5",0
10,"5",0
11,"5",0
12,"5",0
13,"5",0
14,"5",0
15,"5",0
16,"5",0
17,"5",0
18,"5",0
19,"5",0
20,"5",0
1,"6",0
2,"6",0
3,"6",0
4,"6",0
5,"6",0
6,"6",0
7,"6",0
8,"6",0
9,"6",0
10,"6",0
11,"6",0
12,"6",0
13,"6",0
14,"6",0
15,"6",0
16,"6",0
17,"6",0
18,"6",0
19,"6",0
20,"6",0
