"R1","R2","R3","R4"
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,3
1,1,2,3
1,1,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,2,3
1,2,3,3
1,2,3,3
1,2,3,3
1,2,3,3
1,2,3,3
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,5
1,2,3,5
1,2,3,5
1,2,4,5
1,2,4,5
1,2,4,5
1,2,4,5
1,2,4,5
1,2,4,5
1,2,4,5
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
