"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
1,"sub",FALSE,1,"1",392,392,1,129,5,353,1.23316935373849
1,"sub",FALSE,1,"tot",392,392,1,129,5,353,1.23316935373849
1,"sub",FALSE,2,"1",229,228,0.995633187772926,81,3,206,1.23576680177208
1,"sub",FALSE,2,"2",163,132,0.809815950920245,24,7,146,0.126824322731238
1,"sub",FALSE,2,"tot",392,360,0.918367346938776,87,3,352,0.293876262626263
1,"sub",FALSE,4,"1",143,134,0.937062937062937,47,3,116,1.51969381688466
1,"sub",FALSE,4,"2",100,46,0.46,7,9,77,0.06616871901846
1,"sub",FALSE,4,"3",82,25,0.304878048780488,5,9,65,0.0347394540942928
1,"sub",FALSE,4,"4",67,4,0.0597014925373134,0,2,54,0.0115957078573901
1,"sub",FALSE,4,"tot",392,209,0.533163265306122,55,3,312,0.0798024807171149
1,"sub",FALSE,6,"1",115,87,0.756521739130435,36,3,76,2.28964681440443
1,"sub",FALSE,6,"2",83,45,0.542168674698795,9,5,56,0.147264194139194
1,"sub",FALSE,6,"3",66,16,0.242424242424242,3,3,45,0.0471157167530225
1,"sub",FALSE,6,"4",54,3,0.0555555555555556,0,2,34,0.035099122521937
1,"sub",FALSE,6,"5",43,5,0.116279069767442,0,2,29,0.0268199233716475
1,"sub",FALSE,6,"6",31,4,0.129032258064516,0,2,20,0.0322306238185255
1,"sub",FALSE,6,"tot",392,160,0.408163265306122,45,3,260,0.0984885499215476
2,"sub",FALSE,1,"1",392,392,1,123,5,353,1.23316935373849
2,"sub",FALSE,1,"tot",392,392,1,123,5,353,1.23316935373849
2,"sub",FALSE,2,"1",228,228,1,69,5,200,1.2996
2,"sub",FALSE,2,"2",164,133,0.810975609756098,25,5,153,0.118702823899474
2,"sub",FALSE,2,"tot",392,361,0.920918367346939,94,5,353,0.286141222477672
2,"sub",FALSE,4,"1",141,129,0.914893617021277,39,3,110,1.64305785123967
2,"sub",FALSE,4,"2",103,56,0.543689320388349,7,3,81,0.0782891100055279
2,"sub",FALSE,4,"3",81,26,0.320987654320988,6,3,69,0.0294818344252531
2,"sub",FALSE,4,"4",67,3,0.0447761194029851,0,2,58,0.00691260088041086
2,"sub",FALSE,4,"tot",392,214,0.545918367346939,52,3,318,0.0767358490566038
2,"sub",FALSE,6,"1",115,90,0.782608695652174,38,3,77,2.23056164614606
2,"sub",FALSE,6,"2",83,29,0.349397590361446,8,3,57,0.0715401605343964
2,"sub",FALSE,6,"3",66,18,0.272727272727273,3,3,44,0.0630252100840336
2,"sub",FALSE,6,"4",54,2,0.037037037037037,0,2,46,0.00773583554186663
2,"sub",FALSE,6,"5",43,9,0.209302325581395,0,2,26,0.0396549853531518
2,"sub",FALSE,6,"6",31,3,0.0967741935483871,0,2,25,0.0113587786259542
2,"sub",FALSE,6,"tot",392,151,0.385204081632653,49,3,275,0.0731084190165937
3,"sub",FALSE,1,"1",392,392,1,132,5,353,1.23316935373849
3,"sub",FALSE,1,"tot",392,392,1,132,5,353,1.23316935373849
3,"sub",FALSE,2,"1",228,228,1,71,3,205,1.23697798929209
3,"sub",FALSE,2,"2",164,130,0.792682926829268,23,7,148,0.10929746134602
3,"sub",FALSE,2,"tot",392,358,0.913265306122449,82,5,353,0.261032441189764
3,"sub",FALSE,4,"1",143,108,0.755244755244755,44,3,101,2.00460739143221
3,"sub",FALSE,4,"2",102,56,0.549019607843137,9,5,77,0.0818619582664527
3,"sub",FALSE,4,"3",82,34,0.414634146341463,3,5,61,0.0638185129988409
3,"sub",FALSE,4,"4",65,9,0.138461538461538,0,2,47,0.0210962856112514
3,"sub",FALSE,4,"tot",392,207,0.528061224489796,51,3,286,0.112474527568867
3,"sub",FALSE,6,"1",115,97,0.843478260869565,34,3,89,1.66961242267391
