"rep","dens","rand","rich","species","n","time","n.I","n.E","n.S","pI","dI"
1,"sub",FALSE,1,"1",392,1,39,114,353,0.0994897959183673,NA
1,"sub",FALSE,1,"1",392,2,39,114,353,0.0994897959183673,0
1,"sub",FALSE,1,"1",392,3,153,129,239,0.39030612244898,114
1,"sub",FALSE,1,"1",392,4,153,129,239,0.39030612244898,0
1,"sub",FALSE,1,"1",392,5,282,76,110,0.719387755102041,129
1,"sub",FALSE,1,"1",392,6,282,76,110,0.719387755102041,0
1,"sub",FALSE,1,"1",392,7,358,26,34,0.913265306122449,76
1,"sub",FALSE,1,"1",392,8,358,26,34,0.913265306122449,0
1,"sub",FALSE,1,"1",392,9,384,5,8,0.979591836734694,26
1,"sub",FALSE,1,"1",392,10,384,5,8,0.979591836734694,0
1,"sub",FALSE,1,"1",392,11,389,2,3,0.99234693877551,5
1,"sub",FALSE,1,"1",392,12,389,2,3,0.99234693877551,0
1,"sub",FALSE,1,"1",392,13,391,1,1,0.997448979591837,2
1,"sub",FALSE,1,"1",392,14,391,1,1,0.997448979591837,0
1,"sub",FALSE,1,"1",392,15,392,0,0,1,1
1,"sub",FALSE,1,"1",392,16,392,0,0,1,0
1,"sub",FALSE,1,"1",392,17,392,0,0,1,0
1,"sub",FALSE,1,"1",392,18,392,0,0,1,0
1,"sub",FALSE,1,"1",392,19,392,0,0,1,0
1,"sub",FALSE,1,"1",392,20,392,0,0,1,0
1,"sub",FALSE,1,"1",392,21,392,0,0,1,0
1,"sub",FALSE,1,"1",392,22,392,0,0,1,0
1,"sub",FALSE,1,"1",392,23,392,0,0,1,0
1,"sub",FALSE,1,"1",392,24,392,0,0,1,0
1,"sub",FALSE,1,"1",392,25,392,0,0,1,0
1,"sub",FALSE,1,"1",392,26,392,0,0,1,0
1,"sub",FALSE,1,"1",392,27,392,0,0,1,0
1,"sub",FALSE,1,"1",392,28,392,0,0,1,0
1,"sub",FALSE,1,"1",392,29,392,0,0,1,0
1,"sub",FALSE,1,"1",392,30,392,0,0,1,0
1,"sub",FALSE,1,"tot",392,1,39,114,353,0.0994897959183673,NA
1,"sub",FALSE,1,"tot",392,2,39,114,353,0.0994897959183673,0
1,"sub",FALSE,1,"tot",392,3,153,129,239,0.39030612244898,114
1,"sub",FALSE,1,"tot",392,4,153,129,239,0.39030612244898,0
1,"sub",FALSE,1,"tot",392,5,282,76,110,0.719387755102041,129
1,"sub",FALSE,1,"tot",392,6,282,76,110,0.719387755102041,0
1,"sub",FALSE,1,"tot",392,7,358,26,34,0.913265306122449,76
1,"sub",FALSE,1,"tot",392,8,358,26,34,0.913265306122449,0
1,"sub",FALSE,1,"tot",392,9,384,5,8,0.979591836734694,26
1,"sub",FALSE,1,"tot",392,10,384,5,8,0.979591836734694,0
