"dist","time","species","trans","beta"
17.5,1,1,"sec",0
17.6,1,1,"sec",0
17.7,1,1,"sec",0
17.8,1,1,"sec",0
17.9,1,1,"sec",0
18,1,1,"sec",0
18.1,1,1,"sec",0
18.2,1,1,"sec",0
18.3,1,1,"sec",0
18.4,1,1,"sec",0
18.5,1,1,"sec",0
18.6,1,1,"sec",0
18.7,1,1,"sec",0
18.8,1,1,"sec",0
18.9,1,1,"sec",0
19,1,1,"sec",0
19.1,1,1,"sec",0
19.2,1,1,"sec",0
19.3,1,1,"sec",0
19.4,1,1,"sec",0
19.5,1,1,"sec",0
19.6,1,1,"sec",0
19.7,1,1,"sec",0
19.8,1,1,"sec",0
19.9,1,1,"sec",0
20,1,1,"sec",0
20.1,1,1,"sec",0
20.2,1,1,"sec",0
20.3,1,1,"sec",0
20.4,1,1,"sec",0
20.5,1,1,"sec",0
20.6,1,1,"sec",0
20.7,1,1,"sec",0
20.8,1,1,"sec",0
20.9,1,1,"sec",0
21,1,1,"sec",0
21.1,1,1,"sec",0
21.2,1,1,"sec",0
21.3,1,1,"sec",0
21.4,1,1,"sec",0
21.5,1,1,"sec",0
21.6,1,1,"sec",0
21.7,1,1,"sec",0
21.8,1,1,"sec",0
21.9,1,1,"sec",0
22,1,1,"sec",0
22.1,1,1,"sec",0
22.2,1,1,"sec",0
22.3,1,1,"sec",0
22.4,1,1,"sec",0
22.5,1,1,"sec",0
22.6,1,1,"sec",0
22.7,1,1,"sec",0
22.8,1,1,"sec",0
22.9,1,1,"sec",0
23,1,1,"sec",0
23.1,1,1,"sec",0
23.2,1,1,"sec",0
23.3,1,1,"sec",0
23.4,1,1,"sec",0
23.5,1,1,"sec",0
23.6,1,1,"sec",0
23.7,1,1,"sec",0
23.8,1,1,"sec",0
23.9,1,1,"sec",0
24,1,1,"sec",0
24.1,1,1,"sec",0
24.2,1,1,"sec",0
24.3,1,1,"sec",0
24.4,1,1,"sec",0
24.5,1,1,"sec",0
24.6,1,1,"sec",0
24.7,1,1,"sec",0
24.8,1,1,"sec",0
24.9,1,1,"sec",0
25,1,1,"sec",0
25.1,1,1,"sec",0
25.2,1,1,"sec",0
25.3,1,1,"sec",0
25.4,1,1,"sec",0
25.5,1,1,"sec",0
25.6,1,1,"sec",0
25.7,1,1,"sec",0
25.8,1,1,"sec",0
25.9,1,1,"sec",0
26,1,1,"sec",0
26.1,1,1,"sec",0
26.2,1,1,"sec",0
26.3,1,1,"sec",0
26.4,1,1,"sec",0
26.5,1,1,"sec",0
26.6,1,1,"sec",0
26.7,1,1,"sec",0
26.8,1,1,"sec",0
26.9,1,1,"sec",0
27,1,1,"sec",0
27.1,1,1,"sec",0
27.2,1,1,"sec",0
27.3,1,1,"sec",0
27.4,1,1,"sec",0
27.5,1,1,"sec",0
27.6,1,1,"sec",0
27.7,1,1,"sec",0
27.8,1,1,"sec",0
27.9,1,1,"sec",0
28,1,1,"sec",0
28.1,1,1,"sec",0
28.2,1,1,"sec",0
28.3,1,1,"sec",0
28.4,1,1,"sec",0
28.5,1,1,"sec",0
28.6,1,1,"sec",0
28.7,1,1,"sec",0
28.8,1,1,"sec",0
28.9,1,1,"sec",0
29,1,1,"sec",0
29.1,1,1,"sec",0
29.2,1,1,"sec",0
29.3,1,1,"sec",0
29.4,1,1,"sec",0
29.5,1,1,"sec",0
29.6,1,1,"sec",0
29.7,1,1,"sec",0
29.8,1,1,"sec",0
29.9,1,1,"sec",0
30,1,1,"sec",0
17.5,2,1,"sec",1
17.6,2,1,"sec",0.99653113047788
17.7,2,1,"sec",0.993054631335162
17.8,2,1,"sec",0.989570666616412
17.9,2,1,"sec",0.986079400234973
18,2,1,"sec",0.982580995960458
18.1,2,1,"sec",0.979075617406315
18.2,2,1,"sec",0.975563428017445
18.3,2,1,"sec",0.972044591057879
18.4,2,1,"sec",0.968519269598526
18.5,2,1,"sec",0.96498762650497
18.6,2,1,"sec",0.961449824425344
18.7,2,1,"sec",0.957906025778266
18.8,2,1,"sec",0.954356392740837
18.9,2,1,"sec",0.950801087236712
19,2,1,"sec",0.947240270924239
19.1,2,1,"sec",0.943674105184671
19.2,2,1,"sec",0.940102751110439
19.3,2,1,"sec",0.936526369493514
19.4,2,1,"sec",0.932945120813826
19.5,2,1,"sec",0.929359165227771
19.6,2,1,"sec",0.925768662556786
19.7,2,1,"sec",0.922173772276001
19.8,2,1,"sec",0.918574653502975
19.9,2,1,"sec",0.914971464986506
20,2,1,"sec",0.91136436509552
20.1,2,1,"sec",0.907753511808045
20.2,2,1,"sec",0.904139062700264
20.3,2,1,"sec",0.900521174935653
20.4,2,1,"sec",0.896900005254202
20.5,2,1,"sec",0.893275709961717
20.6,2,1,"sec",0.889648444919219
20.7,2,1,"sec",0.886018365532415
20.8,2,1,"sec",0.882385626741269
20.9,2,1,"sec",0.878750383009653
21,2,1,"sec",0.875112788315092
21.1,2,1,"sec",0.871472996138599
21.2,2,1,"sec",0.867831159454598
21.3,2,1,"sec",0.864187430720943
21.4,2,1,"sec",0.860541961869024
21.5,2,1,"sec",0.856894904293974
21.6,2,1,"sec",0.853246408844965
21.7,2,1,"sec",0.849596625815596
21.8,2,1,"sec",0.845945704934387
21.9,2,1,"sec",0.842293795355361
22,2,1,"sec",0.838641045648721
22.1,2,1,"sec",0.834987603791637
22.2,2,1,"sec",0.831333617159116
22.3,2,1,"sec",0.827679232514983
22.4,2,1,"sec",0.824024596002959
22.5,2,1,"sec",0.820369853137831
22.6,2,1,"sec",0.816715148796739
22.7,2,1,"sec",0.813060627210548
22.8,2,1,"sec",0.809406431955333
22.9,2,1,"sec",0.805752705943963
23,2,1,"sec",0.80209959141779
23.1,2,1,"sec",0.798447229938436
23.2,2,1,"sec",0.794795762379694
23.3,2,1,"sec",0.791145328919524
23.4,2,1,"sec",0.787496069032161
23.5,2,1,"sec",0.783848121480327
23.6,2,1,"sec",0.780201624307546
23.7,2,1,"sec",0.77655671483057
23.8,2,1,"sec",0.772913529631908
23.9,2,1,"sec",0.769272204552467
24,2,1,"sec",0.765632874684297
24.1,2,1,"sec",0.761995674363442
24.2,2,1,"sec",0.758360737162907
24.3,2,1,"sec",0
24.4,2,1,"sec",0
24.5,2,1,"sec",0
24.6,2,1,"sec",0
24.7,2,1,"sec",0
24.8,2,1,"sec",0
24.9,2,1,"sec",0
25,2,1,"sec",0
25.1,2,1,"sec",0
25.2,2,1,"sec",0
25.3,2,1,"sec",0
25.4,2,1,"sec",0
25.5,2,1,"sec",0
25.6,2,1,"sec",0
25.7,2,1,"sec",0
25.8,2,1,"sec",0
25.9,2,1,"sec",0
26,2,1,"sec",0
26.1,2,1,"sec",0
26.2,2,1,"sec",0
26.3,2,1,"sec",0
26.4,2,1,"sec",0
26.5,2,1,"sec",0
26.6,2,1,"sec",0
26.7,2,1,"sec",0
26.8,2,1,"sec",0
26.9,2,1,"sec",0
27,2,1,"sec",0
27.1,2,1,"sec",0
27.2,2,1,"sec",0
27.3,2,1,"sec",0
27.4,2,1,"sec",0
27.5,2,1,"sec",0
27.6,2,1,"sec",0
27.7,2,1,"sec",0
27.8,2,1,"sec",0
27.9,2,1,"sec",0
28,2,1,"sec",0
28.1,2,1,"sec",0
28.2,2,1,"sec",0
28.3,2,1,"sec",0
28.4,2,1,"sec",0
28.5,2,1,"sec",0
28.6,2,1,"sec",0
28.7,2,1,"sec",0
28.8,2,1,"sec",0
28.9,2,1,"sec",0
29,2,1,"sec",0
29.1,2,1,"sec",0
29.2,2,1,"sec",0
29.3,2,1,"sec",0
29.4,2,1,"sec",0
29.5,2,1,"sec",0
29.6,2,1,"sec",0
29.7,2,1,"sec",0
29.8,2,1,"sec",0
29.9,2,1,"sec",0
30,2,1,"sec",0
17.5,3,1,"sec",0.697676326071031
17.6,3,1,"sec",0.695256177927219
17.7,3,1,"sec",0.692830706777738
17.8,3,1,"sec",0.6904000270726
17.9,3,1,"sec",0.687964253170262
18,3,1,"sec",0.685523499328907
18.1,3,1,"sec",0.683077879697764
18.2,3,1,"sec",0.680627508308471
18.3,3,1,"sec",0.678172499066479
18.4,3,1,"sec",0.675712965742498
18.5,3,1,"sec",0.673249021963991
18.6,3,1,"sec",0.670780781206712
18.7,3,1,"sec",0.668308356786283
18.8,3,1,"sec",0.665831861849829
18.9,3,1,"sec",0.663351409367651
19,3,1,"sec",0.660867112124951
19.1,3,1,"sec",0.658379082713609
19.2,3,1,"sec",0.655887433524
19.3,3,1,"sec",0.653392276736875
19.4,3,1,"sec",0.650893724315284
19.5,3,1,"sec",0.648391887996552
19.6,3,1,"sec",0.64588687928431
19.7,3,1,"sec",0.643378809440584
19.8,3,1,"sec",0.640867789477926
19.9,3,1,"sec",0.638353930151615
20,3,1,"sec",0.6358373419519
20.1,3,1,"sec",0.633318135096313
20.2,3,1,"sec",0.630796419522026
20.3,3,1,"sec",0.628272304878275
20.4,3,1,"sec",0.625745900518839
20.5,3,1,"sec",0.623217315494582
20.6,3,1,"sec",0.620686658546046
20.7,3,1,"sec",0.618154038096115
20.8,3,1,"sec",0.615619562242733
20.9,3,1,"sec",0.613083338751686
21,3,1,"sec",0.610545475049449
21.1,3,1,"sec",0.608006078216092
21.2,3,1,"sec",0.605465254978247
21.3,3,1,"sec",0.602923111702151
21.4,3,1,"sec",0.600379754386738
