"rep","dens","rand","rich","species","n","n.I","max.dI","tmax.dI","n.E","FOI","pE","pI","comp_Abund","comp_relAbund","comp_nI","pcomp_Abund","comp.i","n.Eweighted","p.Eweighted"
1,"sub",FALSE,1,"1",300,300,86,5,270,1.1037527593819,0.9,1,300,1,300,1,1,270,0.9
1,"sub",FALSE,1,"tot",300,300,86,5,270,1.1037527593819,0.9,1,300,1,300,1,NA,270,0.9
1,"sub",FALSE,2,"1",169,169,51,3,154,1.09094728800611,0.911242603550296,0.89,208.3,0.694333333333333,198.4,1.23254437869822,1,154,0.513333333333333
1,"sub",FALSE,2,"2",131,98,17,5,116,0.141524825822383,0.885496183206107,0.89,208.3,0.694333333333333,198.4,1.59007633587786,0.3,34.8,0.116
1,"sub",FALSE,2,"tot",300,267,60,3,270,0.311624649859944,0.9,0.89,208.3,0.694333333333333,198.4,0.694333333333333,NA,188.8,0.629333333333333
1,"sub",FALSE,4,"1",111,100,41,3,92,1.36657054125998,0.828828828828829,0.54,153.2,0.510666666666667,115.8,1.38018018018018,1,92,0.306666666666667
1,"sub",FALSE,4,"2",86,38,10,5,62,0.1107972845746,0.720930232558139,0.54,153.2,0.510666666666667,115.8,1.78139534883721,0.3,18.6,0.062
1,"sub",FALSE,4,"3",61,20,5,3,46,0.0671751366343095,0.754098360655738,0.54,153.2,0.510666666666667,115.8,2.51147540983607,0.2,9.2,0.0306666666666667
1,"sub",FALSE,4,"4",42,4,0,2,36,0.011844331641286,0.857142857142857,0.54,153.2,0.510666666666667,115.8,3.64761904761905,0.1,3.6,0.012
1,"sub",FALSE,4,"tot",300,162,50,3,236,0.133023247396093,0.786666666666667,0.54,153.2,0.510666666666667,115.8,0.510666666666667,NA,123.4,0.411333333333333
1,"sub",FALSE,6,"1",94,71,32,3,62,2.15933528836755,0.659574468085106,0.413333333333333,130.3,0.434333333333333,84,1.38617021276596,1,62,0.206666666666667
1,"sub",FALSE,6,"2",75,32,6,3,57,0.101391833348696,0.76,0.413333333333333,130.3,0.434333333333333,84,1.73733333333333,0.3,17.1,0.057
1,"sub",FALSE,6,"3",51,16,2,6,27,0.155677655677656,0.529411764705882,0.413333333333333,130.3,0.434333333333333,84,2.55490196078431,0.2,5.4,0.018
1,"sub",FALSE,6,"4",36,2,0,2,19,0.102255639097744,0.527777777777778,0.413333333333333,130.3,0.434333333333333,84,3.61944444444444,0.1,1.9,0.00633333333333333
1,"sub",FALSE,6,"5",26,3,0,2,18,0.0369187078452254,0.692307692307692,0.413333333333333,130.3,0.434333333333333,84,5.01153846153846,0,0,0
1,"sub",FALSE,6,"6",18,0,0,2,11,0.0662112454019969,0.611111111111111,0.413333333333333,130.3,0.434333333333333,84,7.23888888888889,0,0,0
1,"sub",FALSE,6,"tot",300,124,38,3,194,0.171630605169514,0.646666666666667,0.413333333333333,130.3,0.434333333333333,84,0.434333333333333,NA,86.4,0.288
2,"sub",FALSE,1,"1",300,300,87,5,270,1.12612612612613,0.9,1,300,1,300,1,1,270,0.9
2,"sub",FALSE,1,"tot",300,300,87,5,270,1.12612612612613,0.9,1,300,1,300,1,NA,270,0.9
2,"sub",FALSE,2,"1",169,167,49,3,152,1.07989261947973,0.899408284023669,0.836666666666667,208.3,0.694333333333333,192.2,1.23254437869822,1,152,0.506666666666667
2,"sub",FALSE,2,"2",131,84,14,7,116,0.0942026504126288,0.885496183206107,0.836666666666667,208.3,0.694333333333333,192.2,1.59007633587786,0.3,34.8,0.116
