"","rep","dens","rand","rich","species","n","time","n.I","n.E","n.S","pI","dI","rel.n","comp","comp_Abund","comp_relAbund","comp_nI"
"1",1,"sub",FALSE,1,"1",300,1,30,85,270,0.1,NA,1,1,300,1,30
"2",1,"sub",FALSE,1,"1",300,2,30,85,270,0.1,0,1,1,300,1,30
"3",1,"sub",FALSE,1,"1",300,3,101,87,199,0.336666666666667,71,1,1,300,1,101
"4",1,"sub",FALSE,1,"1",300,4,111,87,189,0.37,10,1,1,300,1,111
"5",1,"sub",FALSE,1,"1",300,5,182,65,118,0.606666666666667,71,1,1,300,1,182
"6",1,"sub",FALSE,1,"1",300,6,196,58,104,0.653333333333333,14,1,1,300,1,196
"7",1,"sub",FALSE,1,"1",300,7,246,32,54,0.82,50,1,1,300,1,246
"8",1,"sub",FALSE,1,"1",300,8,254,28,46,0.846666666666667,8,1,1,300,1,254
"9",1,"sub",FALSE,1,"1",300,9,278,14,22,0.926666666666667,24,1,1,300,1,278
"10",1,"sub",FALSE,1,"1",300,10,282,12,18,0.94,4,1,1,300,1,282
"11",1,"sub",FALSE,1,"1",300,11,291,6,9,0.97,9,1,1,300,1,291
"12",1,"sub",FALSE,1,"1",300,12,294,5,6,0.98,3,1,1,300,1,294
"13",1,"sub",FALSE,1,"1",300,13,297,3,3,0.99,3,1,1,300,1,297
"14",1,"sub",FALSE,1,"1",300,14,298,2,2,0.993333333333333,1,1,1,300,1,298
"15",1,"sub",FALSE,1,"1",300,15,300,0,0,1,2,1,1,300,1,300
"16",1,"sub",FALSE,1,"1",300,16,300,0,0,1,0,1,1,300,1,300
"17",1,"sub",FALSE,1,"1",300,17,300,0,0,1,0,1,1,300,1,300
"18",1,"sub",FALSE,1,"1",300,18,300,0,0,1,0,1,1,300,1,300
"19",1,"sub",FALSE,1,"1",300,19,300,0,0,1,0,1,1,300,1,300
"20",1,"sub",FALSE,1,"1",300,20,300,0,0,1,0,1,1,300,1,300
"21",1,"sub",FALSE,1,"tot",300,1,30,85,270,0.1,NA,1,NA,NA,NA,NA
"22",1,"sub",FALSE,1,"tot",300,2,30,85,270,0.1,0,1,NA,NA,NA,NA
"23",1,"sub",FALSE,1,"tot",300,3,101,87,199,0.336666666666667,71,1,NA,NA,NA,NA
"24",1,"sub",FALSE,1,"tot",300,4,111,87,189,0.37,10,1,NA,NA,NA,NA
"25",1,"sub",FALSE,1,"tot",300,5,182,65,118,0.606666666666667,71,1,NA,NA,NA,NA
"26",1,"sub",FALSE,1,"tot",300,6,196,58,104,0.653333333333333,14,1,NA,NA,NA,NA
"27",1,"sub",FALSE,1,"tot",300,7,246,32,54,0.82,50,1,NA,NA,NA,NA
"28",1,"sub",FALSE,1,"tot",300,8,254,28,46,0.846666666666667,8,1,NA,NA,NA,NA
"29",1,"sub",FALSE,1,"tot",300,9,278,14,22,0.926666666666667,24,1,NA,NA,NA,NA
"30",1,"sub",FALSE,1,"tot",300,10,282,12,18,0.94,4,1,NA,NA,NA,NA
"31",1,"sub",FALSE,1,"tot",300,11,291,6,9,0.97,9,1,NA,NA,NA,NA
"32",1,"sub",FALSE,1,"tot",300,12,294,5,6,0.98,3,1,NA,NA,NA,NA
"33",1,"sub",FALSE,1,"tot",300,13,297,3,3,0.99,3,1,NA,NA,NA,NA
"34",1,"sub",FALSE,1,"tot",300,14,298,2,2,0.993333333333333,1,1,NA,NA,NA,NA
"35",1,"sub",FALSE,1,"tot",300,15,300,0,0,1,2,1,NA,NA,NA,NA
"36",1,"sub",FALSE,1,"tot",300,16,300,0,0,1,0,1,NA,NA,NA,NA
"37",1,"sub",FALSE,1,"tot",300,17,300,0,0,1,0,1,NA,NA,NA,NA
"38",1,"sub",FALSE,1,"tot",300,18,300,0,0,1,0,1,NA,NA,NA,NA
"39",1,"sub",FALSE,1,"tot",300,19,300,0,0,1,0,1,NA,NA,NA,NA
"40",1,"sub",FALSE,1,"tot",300,20,300,0,0,1,0,1,NA,NA,NA,NA
"41",1,"sub",FALSE,2,"1",168,1,16,48,152,0.0952380952380952,NA,0.56,1,168,0.56,16
"42",1,"sub",FALSE,2,"1",168,2,16,48,152,0.0952380952380952,0,0.56,1,168,0.56,16
"43",1,"sub",FALSE,2,"1",168,3,58,46,110,0.345238095238095,42,0.56,1,168,0.56,58
"44",1,"sub",FALSE,2,"1",168,4,64,41,104,0.380952380952381,6,0.56,1,168,0.56,64
"45",1,"sub",FALSE,2,"1",168,5,97,30,71,0.577380952380952,33,0.56,1,168,0.56,97
"46",1,"sub",FALSE,2,"1",168,6,102,26,66,0.607142857142857,5,0.56,1,168,0.56,102
"47",1,"sub",FALSE,2,"1",168,7,126,12,42,0.75,24,0.56,1,168,0.56,126
